"","S.73.sti.1_FPKM","S.124.sti.1_FPKM","S.103.sti.1_FPKM","S.102.sti.1_FPKM","V5"
"ENSG00000000419",4.66107689784628,-0.368619508907488,-0.440794075342197,-0.175539215503554,-0.220429044009835
"ENSG00000000457",0.550665814897604,-2.07134340089521,-2.0326872417573,-1.89462265604396,-2.07286611561522
"ENSG00000000460",1.4368820547443,-0.771521498523271,-0.732643310133482,-0.444384801755324,-0.658863976456518
"ENSG00000001036",0.903623694506397,-1.03465893165862,-1.33507033755021,-1.20137984530132,-0.905737484014388
"ENSG00000001084",0.472297195475111,-1.87103204974538,-1.91671866635405,-1.68618815279182,-2.0352571126059
"ENSG00000001167",2.32689058045822,-1.22638566887961,-1.07309585753805,-1.07107802454188,-1.34557281168451
"ENSG00000001461",1.8085559736911,-1.45921753425529,-1.18151024203657,-1.3462046108846,-1.5893408547181
"ENSG00000001497",2.81574144260597,-0.0971345646042359,-0.0676039717895499,-0.0936210927580749,-0.186347208432755
"ENSG00000001561",0.797022089626162,-1.21413960491333,-1.14194182868458,-0.792038533251004,-1.036702859398
"ENSG00000001629",2.41209013883423,-1.0168140079548,-1.04861175986499,-1.16439482999746,-1.30656874166779
"ENSG00000001631",1.77330598838418,-1.33708431392076,-1.35291419060399,-1.23446298436926,-1.60700339665706
"ENSG00000002016",0.994551888709743,-0.69129509284699,-0.842091381450247,-0.537101943439095,-1.182678287199
"ENSG00000002330",2.12670133758186,-1.32544905179913,-1.63284332563414,-1.43885932129185,-1.39232784429238
"ENSG00000002549",3.55137894927015,-0.317090689731775,-0.44892947759477,-0.393928889070414,-0.313045832608801
"ENSG00000002586",4.5942544155094,-1.24070471288794,-0.910236747776353,-0.965173657656449,-0.921512555290869
"ENSG00000002822",0.863297645935283,-1.6077996792921,-1.48673317680202,-1.77084534983368,-1.54584449265334
"ENSG00000002834",4.63702195594037,-1.14231512663364,-1.03897043001761,-1.10505103060402,-1.25883922627805
"ENSG00000002919",1.72752402672715,-0.755604961216771,-0.589286263855634,-0.764425209804267,-0.981705075407412
"ENSG00000003056",3.66106898403618,-1.08563575540492,-0.902506085210785,-1.0244558136094,-1.08972860887887
"ENSG00000003393",0.120169187197259,-1.04961088527606,-1.19061074700693,-0.901031558311717,-1.24943753605438
"ENSG00000003400",1.50317343133153,-1.63121370452391,-1.70095471693875,-1.46786427989965,-1.81903097539376
"ENSG00000003402",2.04140540865139,-0.788509502153186,-0.59769439952208,-0.818128060437021,-1.01308294125781
"ENSG00000003509",1.44640808398564,-1.08429382537621,-1.19258017301184,-1.10314613822101,-1.2161648125818
"ENSG00000003756",2.38988590306938,-1.50409747039355,-1.52342141956453,-1.41155081183728,-1.70039835945701
"ENSG00000004059",4.44012779613961,-0.998218183785006,-1.08761638024625,-1.00544634059339,-1.02487060460218
"ENSG00000004139",-0.55963599294786,-0.999093028297,-1.22894285461952,-1.45679536785685,-1.730618244353
"ENSG00000004142",3.70182475507855,-0.287105514107566,-0.436023459869382,-0.288739439024896,-0.502439995511296
"ENSG00000004455",5.53207389201595,0.932125026319864,1.02972929799132,1.03091190512687,0.943237511358487
"ENSG00000004468",3.33905928103642,-1.16147701554901,-1.02671005591777,-1.16357371870272,-1.35854875623719
"ENSG00000004478",4.69780095779553,1.56603368902531,1.26260086292647,1.60197929947415,1.23203636264396
"ENSG00000004487",3.38334535810387,-0.246366124556666,-0.21127309719566,-0.101150809147962,-0.279791708437153
"ENSG00000004534",3.58934830359487,-0.831364767400427,-0.763792030299261,-0.65915060725104,-0.940806488392784
"ENSG00000004700",4.12079246549551,-1.15816658921376,-1.16586992620849,-0.851885984565995,-1.01365438347583
"ENSG00000004766",0.555218116803215,-1.21831459660626,-1.30391662800765,-1.26122669804861,-1.12142225964204
"ENSG00000004777",0.963952446871034,-1.67123990733986,-2.38374159605961,-1.27351512885502,-2.422257670795
"ENSG00000004779",4.32590910593246,0.0857046763593062,0.00778950717387112,0.288978853265606,0.335157763512538
"ENSG00000004838",-2.29869664831759,-2.49760077682272,-2.29085565863186,-1.95447722970747,-2.5848157477807
"ENSG00000004864",0.479420600479582,-0.619735198863103,-0.962890321049369,-0.796405569439547,-0.795432410084866
"ENSG00000004897",2.91211486651774,-1.32280160661378,-1.17151301344251,-1.19886032070274,-1.44931843882344
"ENSG00000004961",1.79783019150815,-0.558248252105042,-0.745863620192149,-0.551384913369435,-0.560718135826226
"ENSG00000004975",2.02370316717981,-0.413118532946914,-0.385377607274224,-0.109869474779332,-0.629198991925634
"ENSG00000005007",2.72600180657701,-0.551996450531721,-0.794394600864764,-0.633634585752795,-1.08300702404359
"ENSG00000005020",0.92042605058803,-1.11003933306649,-1.0590363363148,-1.21785479677547,-1.21790639138275
"ENSG00000005022",6.77201378573717,-0.809459930544384,-0.790927627049715,-0.669212761873826,-0.517989948783885
"ENSG00000005059",2.43695038008045,-2.63372397528553,-2.53712361503638,-2.5744929577868,-2.34606109152913
"ENSG00000005075",3.82858913995244,-0.796973268147792,-0.857283466754071,-0.721545575958841,-0.959075156710088
"ENSG00000005100",1.97390484082488,0.0933918652579113,-0.267609039514953,0.14300879393827,-0.342892769887324
"ENSG00000005156",1.04818396232353,-0.465113995666138,-0.631722941837051,-0.677193793045414,-0.703553242233732
"ENSG00000005175",3.28570915235921,-0.40279116453364,-0.417624873002476,-0.280005175456467,-0.382934707354261
"ENSG00000005189",1.31707349090668,-0.018609602775446,0.0902382115632694,-0.0931793979118855,-0.20689855692448
"ENSG00000005194",1.90047879450937,-1.23963619397797,-1.50233989904488,-1.1922782538639,-1.32713737752432
"ENSG00000005206",1.84856590680051,-1.0957303075942,-1.71472162118451,-1.07216417050663,-1.84884177602493
"ENSG00000005238",0.754768504019193,-1.2622080949486,-1.14057974294343,-0.879141629883413,-1.4351390010649
"ENSG00000005249",-1.45435704335805,0.350884847748335,-0.0245317035193876,1.36937274063418,2.03317937540514
"ENSG00000005302",1.44246887820243,-2.38784194303703,-2.55542266189541,-2.32993923319382,-2.47226338927643
"ENSG00000005339",0.801906394548416,-2.18574552698561,-2.18796800951962,-2.08569075810756,-2.65630818271506
"ENSG00000005379",-0.440812944783796,-2.85509069013385,-3.07849705469634,-3.17478395070319,-3.70075661195728
"ENSG00000005436",1.82252257288487,-0.184597358338738,-0.424889158995437,-0.156428976360324,-0.399238112529445
"ENSG00000005448",3.90018514879306,0.340648408786351,0.322246154302698,0.510113482095656,0.329157139218588
"ENSG00000005469",-0.276857801011492,-1.40307401388579,-1.62546065062509,-1.19635186831191,-1.7992047799435
"ENSG00000005483",3.462443008082,-0.848602546538286,-0.479036356548764,-0.820834186746596,-0.950014710801816
"ENSG00000005486",1.7201458763728,-1.78290333935476,-1.91749334896111,-1.85328967034768,-2.13299043754285
"ENSG00000005700",2.51816538300424,-0.736290904229695,-0.624760694985347,-0.647050738838697,-0.668794981978116
"ENSG00000005801",1.59798040808704,-0.880598708968338,-1.18464523832512,-0.612458180333061,-1.21892554841918
"ENSG00000005810",2.260745715994,-1.0462496389721,-1.09942906671688,-1.40272397639502,-1.48344675838389
"ENSG00000005812",2.50048909942825,-1.18930961475813,-1.15315795442359,-0.929085972404335,-1.11633214886739
"ENSG00000005844",5.38005187668918,-1.39074957487563,-1.40197013743105,-1.50040064064634,-1.89930507980298
"ENSG00000005882",-0.478701650084998,-2.35571390553558,-2.52696523264147,-2.41426776485531,-3.03295378507807
"ENSG00000005884",-0.965874776492447,-1.02945007771768,-1.54620036267622,-1.33842724315275,-1.84902686289269
"ENSG00000005889",1.1777726157433,-1.26327838122276,-1.29587576974882,-1.10795219283242,-1.47347171428029
"ENSG00000005893",2.72210797018834,-0.988873343943332,-0.950820204367329,-1.02447475483666,-1.10408182945305
"ENSG00000005955",2.25765219100591,-1.33016781577305,-1.42247655065731,-1.02928181390727,-1.42385890672272
"ENSG00000006007",2.75179371209254,-0.440899910794202,-0.284066775139551,-0.198627363136615,-0.185680181134666
"ENSG00000006015",2.57813645165695,-0.8588010589449,-1.38793429543853,-0.972851662033224,-1.19180891371842
"ENSG00000006025",1.07963231134825,-1.04671091595645,-1.43421574711841,-0.940743936384267,-1.35999875671283
"ENSG00000006062",1.81735079655537,-0.628116065430291,-0.615288496126351,-0.414940116164497,-0.75942519566257
"ENSG00000006075",2.63290835333139,-0.860224980431195,0.265756046213604,-0.93099872569729,-0.271149683725131
"ENSG00000006114",1.82066804345809,-2.20802011329564,-2.16479524026995,-2.20540029956904,-2.52741880326492
"ENSG00000006125",4.19128029604147,-0.910561412498062,-0.843116121549936,-0.97272934661327,-0.965135754589781
"ENSG00000006194",0.374695111448462,-1.39237245173784,-1.27050254269795,-1.07355788243017,-1.33350205300136
"ENSG00000006282",1.44301329966176,-0.672495098044284,-1.05142468271906,-0.756684681039181,-0.913155068272634
"ENSG00000006327",0.876659324829004,1.35266268248977,1.02647889756152,1.29407974572075,1.20289833146129
"ENSG00000006432",-0.258465254528413,-0.278657124190081,-0.183645448065928,-0.229725330007866,-0.376016415293864
"ENSG00000006451",2.76640496823961,-1.05235229814559,-0.882259815782982,-0.928806762511321,-0.763870936434947
"ENSG00000006459",1.85413895410307,-0.149504536393677,0.109772955985584,-0.0864144135100898,0.0203260494543545
"ENSG00000006530",3.03723887972458,0.0646171772883644,0.350920869851572,0.17622741984816,0.136702356433922
"ENSG00000006555",-0.953652647424163,-2.12043375638951,-2.2340331226163,-1.98895160849508,-2.49388763042557
"ENSG00000006576",2.37583971234115,-0.740255261280827,-0.89237486140194,-0.550766385467309,-0.917325643813016
"ENSG00000006607",-0.0796782028549092,0.252177688773265,0.00851518642837367,0.206100484624253,-0.657487131318958
"ENSG00000006625",4.23068138785236,0.130368155608634,-0.00147785443382267,0.39968784501947,0.226752901910208
"ENSG00000006634",2.77104062999826,-1.02091375682806,-0.919168717095864,-0.821152157247616,-0.96264064607152
"ENSG00000006652",1.49233588097701,-0.539058515245612,-0.456837959745423,-0.387479510426965,-0.432644847959759
"ENSG00000006695",2.0368726234689,-0.532826076269919,-0.353132029649869,-0.509422824524761,-0.419734714830491
"ENSG00000006712",2.90635171937895,-1.12735842149685,-1.12916479755252,-0.774077594599853,-1.15108209483562
"ENSG00000006715",2.01907173445951,-0.678882815423763,-0.672947241470521,-0.649695927068673,-0.737720764320975
"ENSG00000006744",2.08119976580902,-1.00139177911085,-1.16330400544886,-1.11908712227654,-1.47752185546821
"ENSG00000006757",-0.210714512898263,0.132709690092644,-0.394458883739401,-0.0556004488378711,-0.381029989970757
"ENSG00000006831",2.6495178745162,-1.17360648178495,-0.991544282570267,-0.851871539486557,-1.31276054880422
"ENSG00000007047",0.986141436065662,-0.680339968687243,-0.520921968311216,-0.626316316757437,-1.04181099917007
"ENSG00000007080",4.39227242522964,0.48601092477122,0.357323236588084,0.713711149500171,0.10714928562324
"ENSG00000007129",2.02682088459136,-2.23067451809355,-2.05904818055127,-1.84546144865414,-2.20462135679105
"ENSG00000007168",2.93964840272583,-1.46281202812521,-1.45623296777868,-1.23675634669009,-1.5094690806525
"ENSG00000007202",3.37134344535234,-0.536728121425238,-0.62398265892323,-0.572807206524843,-0.949575370859546
"ENSG00000007255",3.23095594737241,-1.2396446785093,-1.69743711251553,-1.42225113127682,-1.46963994771072
"ENSG00000007264",1.76786024829433,-2.17435670425285,-2.53279064440915,-2.30916505196592,-2.42439127803512
"ENSG00000007312",2.26974691563376,-0.242625737510123,-0.0574148910229761,-0.579507407247117,0.0179508237407161
"ENSG00000007341",-1.06040660299191,-1.2259331347079,-1.41887903136068,-1.05952629385317,-1.34201784844522
"ENSG00000007376",0.555453105887995,-2.17177666430451,-2.97437819578069,-2.94312524167506,-2.83358844855841
"ENSG00000007392",1.87031106623591,-0.674081634540478,-0.960188080553765,-0.480799956476871,-0.784548562791758
"ENSG00000007520",4.15171010418307,-0.489398559011924,-0.850302552359489,-0.702005442635938,-0.769703234639427
"ENSG00000007541",0.0341974747490247,-1.79400417666316,-2.36755868203583,-2.03092079464975,-2.42053990590267
"ENSG00000007545",0.869906228909088,-0.7524618934098,-0.925497027982092,-0.71384071830759,-1.29042604465992
"ENSG00000007923",2.02395791350176,-0.353330546026015,-0.548417797218764,-0.419359525686935,-0.788950491011561
"ENSG00000007944",0.967599212611776,-2.03700666027812,-1.93307871297914,-1.63682130600558,-1.72866583776886
"ENSG00000007968",2.6977818389156,-1.50982678382034,-1.44711006020687,-0.880175550137086,-1.51717665289002
